name;params;count
gmmktime;6;2
is_int;1;2
dirname;1;1
touch;2;2
fwrite;2;3
mkdir;2;2
filemtime;1;9
mssql_close;0;1
mssql_select_db;1;1
get_html_translation_table;1;1
array_flip;1;1
base_convert;3;1
strtoupper;1;1
rawurlencode;1;1
ord;1;2
base64_decode;1;1
mt_rand;2;8
chmod;2;3
is_uploaded_file;1;1
rand;0;2
chop;1;5
join;2;3
ucwords;1;2
sort;1;1
array_shift;1;3
preg_split;2;2
realpath;1;2
function_exists;1;8
preg_quote;1;3
strtr;2;2
hexdec;1;4
is_numeric;1;1
rtrim;2;1
rtrim;1;1
ltrim;2;1
ltrim;1;1
is_readable;1;1
date;1;1
base64_encode;1;4
mail;4;2
date;2;1
uniqid;1;4
usort;2;2
preg_match_all;3;10
array_pop;1;2
array_push;1;1
strcasecmp;2;2
mssql_get_last_message;0;2
mssql_free_result;1;1
mssql_result;3;2
mssql_field_type;2;1
mssql_field_name;2;1
mssql_num_fields;1;1
mssql_num_rows;1;2
mssql_fetch_array;1;5
mssql_data_seek;2;3
mssql_query;2;12
mssql_close;1;2
mssql_select_db;2;1
mssql_connect;3;2
mssql_pconnect;3;1
number_format;1;2
ob_start;1;2
pack;1;12
gmdate;1;1
fgets;2;2
fsockopen;5;2
is_integer;1;2
ksort;1;3
chunk_split;3;5
gethostbynamel;1;1
ucfirst;1;3
fwrite;3;2
tempnam;2;3
feof;1;3
fputs;2;25
fsockopen;4;2
copy;2;3
unlink;1;14
doubleval;1;2
fclose;1;13
fputs;3;2
umask;1;3
stristr;2;2
is_link;1;9
is_file;1;9
closedir;1;9
readdir;1;13
is_dir;1;3
opendir;1;13
flush;0;43
filesize;1;8
fopen;2;14
fread;2;10
ob_end_clean;0;3
ob_get_contents;0;4
crc32;1;4
ob_get_length;0;1
gmdate;2;4
ob_implicit_flush;1;3
ob_start;0;3
extension_loaded;1;10
quotemeta;1;1
get_magic_quotes_runtime;0;1
substr;2;17
ereg_replace;3;8
eregi;2;12
chr;1;8
set_time_limit;1;6
basename;1;28
preg_quote;2;8
strrpos;2;2
strpos;3;5
strip_tags;1;18
mt_rand;0;1
microtime;0;6
mt_srand;1;3
split;2;5
file;1;11
strpos;2;7
substr;3;55
round;1;13
strlen;1;54
preg_match;2;62
stripslashes;1;102
serialize;1;7
key;1;3
asort;1;5
gethostbyaddr;1;2
sizeof;1;37
ereg;2;5
explode;2;33
preg_match;3;42
urldecode;1;8
strstr;2;25
md5;1;21
max;0;8
unserialize;1;15
time;0;54
setcookie;6;11
implode;2;39
floor;1;13
ceil;1;19
min;0;3
str_replace;3;312
htmlspecialchars;1;105
intval;1;188
trim;1;144
preg_replace;3;154
sprintf;1;221
urlencode;1;12
count;1;232
define;2;159
file_exists;1;29
getenv;1;6
header;1;30
reset;1;45
addslashes;1;44
get_magic_quotes_gpc;0;3
each;1;115
in_array;2;7
array_merge;0;1
is_array;1;32
strtolower;1;23
ini_get;1;6
set_magic_quotes_runtime;1;4
error_reporting;1;3
defined;1;44
